stop_name,lat,lon,Zip_Codes
Springdale/Leslie,30.282374,-97.684815,78721
Springdale/Bandera,30.283988,-97.683748,78721
1819 Springdale/Martin Luther King,30.28557,-97.68273,78721
Berkman/Larkwood,30.31036,-97.69473,78723
6001 Berkman/Briarcliff,30.314785999999998,-97.692049,78723
6207 Berkman/Glen Valley,30.31646,-97.691029,78723
6509 Berkman/Wheless,30.318728000000004,-97.689634,78723
Berkman/US 290 SE Corner,30.320740999999998,-97.688771,78723
Berkman/US 290 NE Corner,30.322440000000004,-97.68899,78752
7200 Cameron/St Johns,30.326290000000004,-97.69233,78752
1034 St Johns/Meador,30.32925,-97.69644,78752
1008 St Johns/Bethune,30.33032,-97.69854000000001,78752
900 St Johns/Bennett,30.331594,-97.701247,78752
7100 Roland Johnson/St Johns,30.333174,-97.706079,78752
6970 Roland Johnson/Huntland,30.330907,-97.706983,78752
300 Huntland/Brenda,30.330854,-97.71068100000001,78752
6500 Jonathan Dr (Highland Mall),30.328767,-97.71305600000001,78752
7401 Lamar/St Johns,30.341113,-97.716607,78752
Exposition/Warren,30.309551000000003,-97.762879,78703
Exposition/Mountain Laurel,30.307628,-97.763402,78703
Exposition/Northwood,30.305496,-97.764927,78703
2728 Exposition (Casis Elementary),30.303790000000003,-97.764542,78703
2525 Enfield/Norwalk,30.289983000000003,-97.7712,78703
1801 Enfield/Hartford,30.284785999999997,-97.762233,78703
1603 Enfield/West Lynn,30.282771,-97.758105,78703
Oltorf/Alta Vista,30.236320000000003,-97.74719,78704
1101 Oltorf/Alta Vista,30.235651,-97.745688,78704
1313 Oltorf/Schriber,30.234202000000003,-97.743018,78704
1605 Oltorf/IH 35,30.233220000000003,-97.739459,78741
1747 Oltorf/Parker,30.232279,-97.737098,78741
710 Oltorf/East Side,30.23677,-97.748611,78704
324 12th/Guadalupe,30.274749,-97.74333,78701
Enfield/Pease,30.283102000000003,-97.758934,78703
